solar panels,male count,female count,baby,olders,employeed,income,district,squrefeet,units
No,0,2,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",102
No,2,2,0,0,1,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",252
No,1,1,0,2,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",150
No,0,2,0,0,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",110
No,1,1,0,0,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",245
No,0,1,0,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",132
No,1,1,1,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"2,500 to 3,500 square feet",260
No,2,1,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",270
No,1,0,0,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"Less than 1,500 square feet",148
No,0,5,0,0,5,"Between Rs. 300,000 and Rs.400,000",Colombo,"1,500 to 2,500 square feet",280
No,1,1,0,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",112
No,1,2,1,0,1,"Below Rs. 50,000",Kaluthara,"Less than 1,500 square feet",100
No,3,4,0,2,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",230
No,3,3,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"2,500 to 3,500 square feet",123
No,1,1,2,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"Less than 1,500 square feet",105
No,1,2,1,1,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",253
No,2,0,0,1,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"Less than 1,500 square feet",105
No,2,3,1,1,2,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",119
No,2,2,0,2,2,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",152
No,1,3,1,0,3,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",110
No,3,3,0,2,1,"Between Rs. 100,000 and Rs. 200,000",Kandy,"2,500 to 3,500 square feet",130
No,2,3,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",127
No,2,4,2,1,3,"Between Rs. 200,000 and Rs. 300,000",Colombo,"2,500 to 3,500 square feet",131
No,0,1,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",115
No,1,2,1,0,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",140
No,1,2,0,1,1,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",155
No,5,0,0,0,5,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"1,500 to 2,500 square feet",190
No,2,0,0,1,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",153
No,0,2,1,0,0,"Below Rs. 50,000",Gampaha,"Less than 1,500 square feet",99
No,3,3,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"2,500 to 3,500 square feet",123
No,5,3,0,1,3,"Above Rs. 400,000",Gampaha,"More than 4,500 square feet",240
No,2,4,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"2,500 to 3,500 square feet",270
No,5,1,0,2,2,"Above Rs. 400,000",Colombo,"3,500 to 4,500 square feet",470
No,1,1,0,0,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",190
No,2,1,1,0,1,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",210
No,1,0,0,0,1,"Between Rs. 200,000 and Rs. 300,000",Colombo,"1,500 to 2,500 square feet",180
