Solar,Male,Female,children,Adult,Employee,Income,District,landSize,AirCondioner,Fan,Micro,TV,Refig,Iron,Geyser,WashingMaching,Profile,Units
0,2,2,0,0,2,3,0,0,6,2,3,7,4,3,3,0,3,687.75
0,2,3,0,0,3,4,2,3,0,4,0,0,2,0,0,0,2,358.75
0,2,3,0,0,2,3,2,2,0,2,0,0,2,0,0,0,2,284.9066667
0,2,2,0,0,2,2,0,0,0,2,0,0,2,0,0,0,2,267.5833333
0,0,0,0,0,2,2,0,0,0,4,0,3,2,0,0,0,2,68.4066667
0,3,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,2,67.3333333
0,0,0,0,0,2,3,2,0,0,5,0,2,2,0,0,0,2,76.5833333
0,2,3,0,0,0,2,0,2,0,5,2,2,2,0,0,0,2,99.75
0,2,3,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,323.9066667
0,2,3,0,0,2,4,0,3,0,3,0,0,2,0,0,0,0,70.25
0,0,2,0,0,0,3,0,2,4,6,3,5,2,0,3,0,3,557
0,3,4,0,0,3,5,2,3,0,2,0,0,0,0,0,0,2,272.25
0,0,0,0,0,0,0,0,0,5,8,3,7,3,4,3,0,3,672.4066667
0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,92.66666667
0,2,3,2,0,2,4,0,3,0,3,0,0,2,0,0,0,2,225.9066667
0,0,0,0,0,2,5,0,2,2,0,0,0,0,0,0,0,3,469.3333333
0,0,3,0,0,2,2,2,0,2,0,0,0,0,0,0,0,3,449.6666667
0,3,3,0,2,3,5,2,3,0,4,0,0,2,0,0,0,2,327
0,0,0,0,0,0,0,0,0,4,7,3,5,5,3,3,0,3,653.9066667
0,3,2,0,2,2,2,0,2,0,3,0,0,2,0,0,0,2,220.0833333
0,2,2,0,0,2,0,0,0,0,5,0,2,0,0,0,0,2,355.25
0,3,2,0,2,2,5,0,4,0,5,0,2,0,0,0,0,2,200.6666667
0,0,3,0,0,2,3,0,0,3,4,2,3,2,2,3,0,3,504.8333333
0,2,2,0,0,2,0,2,0,0,5,0,0,0,0,0,0,0,6.25
0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,80
0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,7.0833333
0,2,2,0,2,2,2,0,0,0,2,0,0,0,0,0,0,2,206.0666667
0,0,2,0,0,3,4,0,3,0,4,0,2,0,0,0,0,0,29
0,3,0,0,2,2,0,7,0,0,4,0,2,0,0,0,0,0,43.0833333
0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,23.9066667
0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,257.5833333
0,0,3,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,55
0,0,0,0,0,0,,0,0,0,0,0,3,2,0,0,0,2,87.9066667
0,2,2,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,99.33333333
